sku,name,description,price,sale_price,category,badge,image,stock,brand,usage_info
1181,So Sexy - YAQOOT 100ml,,180,,perfume,,,0,,
1182,IDOLE LANCOME 100ml,,125,,perfume,,,0,,
1183,Versace Eros 100ml,,125,,perfume,,,2,,
1184,yves saint laurent 100ml,,140,,perfume,,,1,,
1185,يارا - ياقوت 100مل,,165,,perfume,,,0,,
1186,خمرة - العلا 100مل,,170,,perfume,,,1,,
1187,Carolina Herrera Good Girl (shoe) 100ml,,175,,perfume,,,13,,
1188,يارا - العلا 100مل,,170,,perfume,,,0,,
1189,Black Xs Alzahraa 100ml,,130,,perfume,,,1,,
1190,Black Lexces Rabnne 100ml,,150,,perfume,,,1,,
1192,Top Perfume 100ml,,145,,perfume,,,9,,
1193,Jodere 100ml,,95,,perfume,,,6,,
1194,Jadore Gold 100ml,,130,,perfume,,,2,,
1195,روعة - الهدى 100مل,,145,,perfume,,,3,,
1196,حياة عمري 100مل,,130,,perfume,,,4,,
1197,Beauty Rose 100ml,,145,,perfume,,,20,,
1199,Scandal 100ml,,135,,perfume,,,12,,
1200,اكلادور Si 18ml,,25,,perfume,,,292,,
1201,Vectoria Perfum 25ml,,20,,perfume,,,122,,
1202,Lancome 4*1,,580,,perfume,,,1,,
1203,Versace Eros 4*1,,565.5,,perfume,,,1,,
1204,Mancera 4*1,,580,,perfume,,,2,,
1205,طقم لطافه 3*1,,550,,perfume,,,1,,
1206,ELHODA 100ml,,140,,perfume,,,5,,
1207,Crazy love 100ml,,80,,perfume,,,10,,
1209,CIGARE 35ml,,170,,perfume,,,2,,
1211,Shelis 100ml,,210,,perfume,,,12,,
1212,Amazing Unlimited 100ml,,250,,perfume,,,6,,
1213,GP-Every man 120ml,,205,,perfume,,,8,,
1214,GP-Dream Love 100ml,,155,,perfume,,,17,,
1215,OUGE-BOSS 100ml,,90,,perfume,,,6,,
1216,Boss-The Scent 100ml,,145,,perfume,,,6,,
1217,خمرة-الزهراء 100مل,,155,,perfume,,,6,,
1218,GP-Sandrella 100ml,,155,,perfume,,,9,,
1219,Perfum-Splash 2*1,,300,,perfume,,,6,,
1220,ATTENTION 100ml,,380,,perfume,,,8,,
1221,DELUXE 2*1,,320,,perfume,,,6,,
1222,Good Girl 2*1,,320,,perfume,,,2,,
1223,Black Jack 100ml,,175,,perfume,,,2,,
1224,Phondom-Dubi 50ml,,90,,perfume,,,5,,
1225,Blue De Chance 100ml,,135,,perfume,,,3,,
1226,69 Perfum -,,250,,perfume,,,9,,
1227,EMPARIAL VALAEY 50ml,,95,,perfume,,,3,,
1228,Invictus Elixir 100ml,,150,,perfume,,,3,,
1229,TREND 100ml,,220,,perfume,,,3,,
1232,Si-Red 100ml,,128,,perfume,,,0,,
1233,Si-Dubai 100ml,,125,,perfume,,,3,,
1234,Alomda 100ml,,90,,perfume,,,2,,
1235,HUGO BOSS 100 ml,,105,,perfume,,,1,,
1236,Sexy212 100ml,,210,,perfume,,,2,,
1237,Sexy 212 Silver 100ml,,195,,perfume,,,2,,
1238,خمرة 100مل,,180,,perfume,,,0,,
1239,أسد - لطافة 100مل,,250,,perfume,,,2,,
1240,OLYMPEA -100ml,,120,,perfume,,,0,,
1241,One Billion 100ml,,150,,perfume,,,2,,
1242,Lacoste 100ml,,120,,perfume,,,5,,
1244,Boss Silver 100ml,,95,,perfume,,,2,,
1245,EXPLOSION 65ml,,120,,perfume,,,4,,
1246,Essential 55ml,,120,,perfume,,,4,,
1247,اكلادور شجلام 12مل,,30,,accessories,,,501,,
1248,ايشادو 25 لون كارلا روز,,190,,makeup,,,10,,
1249,ايشادو 32 لون كارلا روز,,210,,makeup,,,0,,
1250,بلاشر كارلا روز 8لون,,150,,makeup,,,4,,
1251,قصة 100مل,,190,,accessories,,,6,,
1252,عود بوكية 100مل,,190,,accessories,,,6,,
1253,عاشق العود 100مل,,190,,accessories,,,5,,
1254,قناع هاي لايف,,70,,accessories,,,18,,
1255,بيوتي بلندر 12*1 سويت فاكيوم,,110,,accessories,,,11,,
1256,بيوتي بلندر عادي,,8,,accessories,,,59,,
1257,مرطب شفاه سحري,,10,,skincare,,,69,,
1258,كبسولة فيتامين للبشره,,120,,accessories,,,11,,
1259,بيوتي بلندر 6*1,,30,,accessories,,,27,,
1260,كارت برايه 2*1,,20,,accessories,,,70,,
1261,صنفره خشب قدم مستورد,,32,,accessories,,,12,,
1262,مسكره شجلام 2*1,,90,,makeup,,,11,,
1263,صبغة قرمز,,60,,accessories,,,4,,
1264,طقم فرشه 8*1,,86,,accessories,,,10,,
1265,كارت مبرد 3*1,,45,,accessories,,,244,,
1266,بيوتي بلندر برطمان 6*1,,48,,kitchen,,,0,,
1267,فرشة مكياج 4D,,18,,accessories,,,23,,
1268,سفنجة تنظيف,,30,,accessories,,,8,,
1269,فرشة شامبو + خزنه,,38,,haircare,,,8,,
1270,بيوتي بلندر صغيره 6*1,,15,,accessories,,,18,,
1271,منظم مكياج كريستال,,120,,kitchen,,,3,,
1272,طقم فرشه 5*1 كارت,,34,,accessories,,,22,,
1273,قطن ميكب -Lpek,,50,,accessories,,,17,,
1274,فرشة - Beatrizy,,28,,accessories,,,0,,
1275,شفره فلامينجو,,15,,accessories,,,42,,
1276,Vaselin,,25,,accessories,,,9,,
1277,خمرة-مجموعة مسك الطهارة 3*1,,85,,accessories,,,24,,
1278,First-مخمريه للجسم,,75,,accessories,,,57,,
1279,هاي لايف كريم تفتيح,,38,,accessories,,,32,,
1280,مرطب شفاه جو,,15,,skincare,,,139,,
1281,كريم ترطيب Fred,,22.5,,accessories,,,27,,
1282,بلوب واكس وسط,,50,,accessories,,,17,,
1283,صابون مغربي كيلوباترا 500مل,,85,,accessories,,,3,,
1284,ملمع شفاه سحري ضد الماء,,23,,accessories,,,51,,
1285,Evona جل كعب الغزال,,25,,accessories,,,9,,
1287,مقشر النيله الزرقا-Evona,,25,,skincare,,,7,,
1288,جو بودر,,35,,accessories,,,24,,
1289,كريم فينا,,27,,accessories,,,23,,
1290,كريم كولاجين-ايفونا,,25,,skincare,,,13,,
1291,مخمرية - ايفونا,,40,,accessories,,,24,,
1292,هير واكس ملمع,,40,,accessories,,,20,,
1293,كريم قشطة الاميرات,,25,,accessories,,,10,,
1294,هاي لايف سوفت كريم مرطب,,25,,skincare,,,15,,
1295,غسول حليب الامارات 200مل,,95,,skincare,,,7,,
1296,سبلاش جليتر جامبو,,95,,perfume,,,17,,
1297,سبلاش جليتر كبير - امور,,67.6,,perfume,,,16,,
1299,اسيتون بخاخ,,20,,accessories,,,70,,
1300,اسيتون عادي,,15,,accessories,,,67,,
1301,العود الملكي رول اون 50ملي,,125,,accessories,,,72,,
1302,جيل صبار ايفونا 250مل,,30,,accessories,,,26,,
1303,مجموعة مسك الطهارة 3*1,,80,,accessories,,,44,,
1304,خلطة حليب الامارات بالكولاجين,,180,,skincare,,,8,,
1305,ملح استحمام - ايفونا 850جرام,,25,,accessories,,,5,,
1306,بريانكا تفتيح بالمسك الابيض,,80,,accessories,,,24,,
1307,مزيل طلاء اظافر mizx,,15,,accessories,,,65,,
1309,ملمع شفاه - Disaar,,25,,accessories,,,21,,
1310,مزيل عرق ايفونا -رول اون 50مل,,50,,accessories,,,48,,
1312,Coco Wax 3*1,,258,,accessories,,,3,,
1313,RD Hairdressing 3*1,,215,,accessories,,,4,,
1314,Coco Wax 1*1,,215,,accessories,,,6,,
1315,RD Hairdressing 1*1,,145,,accessories,,,6,,
1316,مبيض بشره - زووكا,,29,,accessories,,,22,,
1317,ماء ورد طبيعي-ايفونا 290جرام,,25,,accessories,,,23,,
1318,صفا سويت,,10.5,,accessories,,,47,,
1319,عجينة كوكو 100جرام,,30,,accessories,,,82,,
1320,عرض تفتيح للعروسه-كيلوباترا 2*1,,130,,accessories,,,4,,
1321,المجموعة المغربية 6*1,,170,,accessories,,,3,,
1322,حرير مزيل للشعر طبيعي,,21,,accessories,,,55,,
1323,مرطب شفاه فواكه,,45,,skincare,,,96,,
1324,كعب الهوانم 300مل,,35,,accessories,,,1,,
1325,الحمام المغربي الأصلي 2*1-كيلوباترا,,120,,accessories,,,7,,
1326,مجموعة 4*1 حمام مغربي - كليوباترا,,195,,accessories,,,6,,
1327,كريم جلو لفلي,,35,,accessories,,,32,,
1328,ملمع بانسيه,,34,,accessories,,,35,,
1329,سويت الدلكه سوداني كبير,,55,,accessories,,,21,,
1330,روج خشب برايه شجلام,,20.88,,makeup,,,134,,
1331,روج خشب شجلام عادي,,18,,makeup,,,116,,
1332,روج خشب-Flormar,,20,,makeup,,,109,,
1333,زبدة حليب الامارات 500جرام,,189,,accessories,,,11,,
1335,حمام كريم حليب الامارات,,114,,haircare,,,12,,
1336,كريم تفتيح - جو,,24.5,,accessories,,,45,,
1337,مخمرية بيوتي شام,,15,,accessories,,,100,,
1338,كريم صنفره ستاركي,,32,,accessories,,,42,,
1339,كريم تبيض وتقشير-Loreal,,38.71,,skincare,,,10,,
1340,كريم تبيض وتقشير Dove,,38,,skincare,,,12,,
1341,كريم تبيض وتقشير Fructis,,38,,skincare,,,12,,
1342,فازلين شفاف ايفونا كارت,,15,,accessories,,,83,,
1343,مخمرية الملكه - عود ملكي 40 جرام,,35,,accessories,,,93,,
1344,مخمرية ليالي الشام,,30,,accessories,,,8,,
1345,كريم يوكو حليب,,35,,accessories,,,37,,
1346,مسك طهارة - الريان,,35,,accessories,,,12,,
1347,مسك طهارة ذات,,30,,accessories,,,1,,
1348,خميره بيره بريانكا,,40,,accessories,,,18,,
1349,توكة رأس دبدوب كبير,,210,,accessories,,,7,,
1350,توكة رأس دبدوب وسط,,135,,accessories,,,0,,
1351,توكة رأس طوق,,60,,accessories,,,8,,
1352,توكه مشبك ورده صغيره,,35,,accessories,,,4,,
1353,كارت اكسسوارات اطفال 3*1,,60,,accessories,,,1,,
1354,توكه طوق + استك 2*1,,60,,accessories,,,0,,
1355,توكه مشبك ورد,,60,,accessories,,,20,,
1356,توكه مشبك طويل,,10,,accessories,,,17,,
1357,كارت دبوس مشبك,,20,,accessories,,,11,,
1358,توكه مشبك ورده بلاستيك,,15,,accessories,,,7,,
1359,توكه مشبك  ورده بلاستيك صغيرة,,35,,accessories,,,11,,
1360,توكه مشبك فراشة صغيرة,,15,,accessories,,,21,,
1361,علبة دبوس شفافه,,12.5,,accessories,,,0,,
1362,توكه مشبك دهبي,,18,,accessories,,,11,,
1363,توكه مشبك بلاستيك,,18,,accessories,,,18,,
1364,توكه طوق ورد,,22,,accessories,,,8,,
1365,توكه طوق فيونكه,,18,,accessories,,,1,,
1366,كارت توك مشبك 10*1,,25,,accessories,,,21,,
1367,شنطة توك استك الوان,,20,,bags,,,0,,
1368,توكه طوق فيونكه قماش,,48.75,,accessories,,,12,,
1369,توكه طوق قماش,,44,,accessories,,,30,,
1370,كارت توك 6*1,,40,,accessories,,,2,,
1371,توكه استيك فيونكه,,40,,accessories,,,10,,
1372,توكه مشبك فيونكه ساتان,,22.15,,accessories,,,130,,
1373,توكه مشبك فيونكه خرز,,70,,accessories,,,14,,
1374,كارت اكسسوار اطفال قطعتين,,30,,accessories,,,0,,
1375,كارت اكسسوار + نظارة 5*1,,70,,accessories,,,15,,
1376,توكه طوق 2*1,,70,,accessories,,,29,,
1377,توكه مشبك جرافته,,75,,accessories,,,1,,
1378,توكه مشبك ذهبي,,25,,accessories,,,27,,
1379,كارت توكه,,25,,accessories,,,61,,
1381,توكه طوق فيونكه لوكس,,55,,accessories,,,4,,
1382,توكه مشبك فيونكه دنتلا,,25,,accessories,,,21,,
1383,بندانه,,45,,accessories,,,12,,
1384,فراشه اطفال,,60,,accessories,,,2,,
1385,سلسله  اطفال 2*1,,60,,kitchen,,,6,,
1386,توكه طوق فيونكه سوري,,50,,accessories,,,12,,
1387,توكه +ساعه,,60,,accessories,,,18,,
1388,توكه مشبك لوكس,,60,,accessories,,,5,,
1389,توكه مشبك بلاستيك لوكس,,60,,accessories,,,6,,
1390,كارت توكه لوكس,,30,,accessories,,,11,,
1391,كارت توكه اطفال لوكس,,30,,accessories,,,11,,
1392,كارت توكه لوكس لبوبو,,30,,accessories,,,21,,
1393,توكه مشبك اطفال,,20,,accessories,,,19,,
1394,كلبسه  فينكه,,20,,accessories,,,5,,
1395,كارت توكه فراشه,,20,,accessories,,,9,,
1396,توكه مشبك بلاستيك0,,20,,accessories,,,42,,
1397,توكه طوق بلاستك,,20,,accessories,,,7,,
1398,توكه مشبك اطفال .,,25,,accessories,,,7,,
1399,توكه طوق فيونكه لوكس0,,35,,accessories,,,7,,
1400,توكه طوق كريز لوكس,,35,,accessories,,,8,,
1401,طقم توكه فيونكه دهبي 3*1,,28,,accessories,,,81,,
1402,كيس نايلون توك صغيرة,,27.5,,accessories,,,0,,
1403,توكه فيونكه اطفالي,,27.5,,accessories,,,9,,
1404,توكه طوق لوكس,,30,,accessories,,,55,,
1405,علبة توك استك,,30,,accessories,,,9,,
1406,توكه طوق سوبر لوكس,,70,,accessories,,,11,,
1407,توكه مشبك ورده,,35,,accessories,,,7,,
1408,توكه مشبك فيونكه اسود واحمر,,75,,accessories,,,8,,
1409,كارت توكه فيوكه,,30,,accessories,,,24,,
1410,كارت توكه مشبك 4*1,,29.35,,accessories,,,17,,
1411,توكه مشبك دهبي/فضي,,30,,accessories,,,66,,
1412,توكه استك شعر,,26,,accessories,,,0,,
1413,توكه استك نجمه دهبي,,35,,accessories,,,22,,
1414,توكه استك,,28,,accessories,,,20,,
1415,توكه شوكه فيونكه,,35,,accessories,,,121,,
1416,توكه استك فيونكه,,30,,accessories,,,77,,
1417,بنسه برونز,,35,,accessories,,,20,,
1418,استك شعر العاب 5*1,,27,,accessories,,,19,,
1419,كارت اكسسوار 4*1,,35,,accessories,,,7,,
1420,كارت توك 8*1,,35,,accessories,,,6,,
1421,توكه استك لوكال,,13,,accessories,,,19,,
1422,كارت كلبس 2*1,,30,,accessories,,,7,,
1423,علبة دبوس صغيرة,,7,,accessories,,,0,,
1424,علبة دبوس كبيره الوان,,8,,accessories,,,38,,
1425,علبة دبوس لوكس,,12.5,,accessories,,,31,,
1426,علبة دبوس كبيره,,20,,accessories,,,30,,
1427,علبة دبوس رفيع,,20,,accessories,,,9,,
1428,توكه مشبك الملكه,,30,,accessories,,,67,,
1429,بندانه زيرو لوكس,,30,,accessories,,,193,,
1430,توكه طوق فيروز,,25,,accessories,,,36,,
1431,توكه طوق قماش لوكس,,32.5,,accessories,,,29,,
1432,توكه طوق اطفالي,,25,,accessories,,,37,,
1433,كارت توكه مشبك فراشه 2*1,,25,,accessories,,,157,,
1434,كارت مشبك 2*1 فيونكه,,30,,accessories,,,109,,
